ministerial_number,school_name,city,region,category,average,gender,exam_type,curriculum_track
76669,عثمان بن عفان الأهلية الثانوية,تبوك,Tabuk,تعليم عام بنين,70.21,male,capabilities,scientific
40597,مدارس الريان الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,70.17,male,capabilities,scientific
73934,ثانوية الفضيلة الأهلية,حائل,Hail,تعليم عام بنين,70.12,male,capabilities,scientific
113692,ثانوية معالم التربية الأهلية,الرياض,Riyadh,تعليم عام بنين,70.1,male,capabilities,scientific
73608,ثانوية النموذجية الأهلية,حائل,Hail,تعليم عام بنين,70.09,male,capabilities,scientific
29770,تربية الأبناء الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,69.99,male,capabilities,scientific
12228,ثانوية التميز التربوي الأهلية,الرياض,Riyadh,تعليم عام بنين,69.67,male,capabilities,scientific
110793,ثانوية الابتكارية الأهلية -أشبيليا,الرياض,Riyadh,تعليم عام بنين,69.64,male,capabilities,scientific
11377,ثانوية الحجاز الأهلية,الرياض,Riyadh,تعليم عام بنين,69.64,male,capabilities,scientific
11539,ثانوية الوسط الأهلية,الرياض,Riyadh,تعليم عام بنين,69.43,male,capabilities,scientific
111889,ثانوية شروق المعرفة النموذجية الأهلية,الرياض,Riyadh,تعليم عام بنين,69.42,male,capabilities,scientific
32879,جيل الفيصل الثانوية ( فرع الجامعة ) الاهلية,جدة,Makkah,تعليم عام بنين,69.33,male,capabilities,scientific
11704,ثانوية الفكر الأهلية,الرياض,Riyadh,تعليم عام بنين,69.25,male,capabilities,scientific
29771,الشافي الأهلية الثانوية,الطائف,Makkah,تعليم عام بنين,69.17,male,capabilities,scientific
32843,الرضوان الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,69.17,male,capabilities,scientific
11563,ثانوية السمو الأهلية,الرياض,Riyadh,تعليم عام بنين,69.17,male,capabilities,scientific
60309,المحافظه الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,69.12,male,capabilities,scientific
11180,ثانوية الأقصى الأهلية,الرياض,Riyadh,تعليم عام بنين,69.09,male,capabilities,scientific
12080,ثانوية المتقدمة الأهلية - الشهداء,الرياض,Riyadh,تعليم عام بنين,69.07,male,capabilities,scientific
11714,ثانوية القبس الأهلية,الرياض,Riyadh,تعليم عام بنين,69.01,male,capabilities,scientific
32846,أهلية البيان الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,68.92,male,capabilities,scientific
157385,ثانوية الأحساء النموذجية الأهلية,الأحساء,AlSharquia,تعليم عام بنين,68.89,male,capabilities,scientific
60351,منار السبيل الأهلية الثانوية,حفر الباطن,AlSharquia,تعليم عام بنين,68.89,male,capabilities,scientific
11416,ثانوية الفتح الأهلية,الرياض,Riyadh,تعليم عام بنين,68.84,male,capabilities,scientific
12087,ثانوية رواد التربية الأهلية,الرياض,Riyadh,تعليم عام بنين,68.68,male,capabilities,scientific
32837,المنهل الثقافي الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,68.64,male,capabilities,scientific
32839,الأنجال الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,68.61,male,capabilities,scientific
76621,رياض الصالحين الأهلية الثانوية,تبوك,Tabuk,تعليم عام بنين,68.59,male,capabilities,scientific
11214,ثانوية عهد الأهلية,الرياض,Riyadh,تعليم عام بنين,68.59,male,capabilities,scientific
40870,مدارس القلعة الحجازية الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,68.5,male,capabilities,scientific
187053,ثانوية منارات المجد الأهلية,جازان,Jazan,تعليم عام بنين,68.5,male,capabilities,scientific
84257,الرحمانية الأهلية - الثانوية,سكاكا,Gouf,تعليم عام بنين,68.36,male,capabilities,scientific
162211,مدارس الذكر النموذجية الاهلية الثانوية,خميس مشيط,Asser,تعليم عام بنين,68.34,male,capabilities,scientific
11389,ثانوية علوم الرياض الأهلية - الصحافة,الرياض,Riyadh,تعليم عام بنين,68.28,male,capabilities,scientific
176054,مدارس منارة العصر الأهلية للمرحلة الثانوية,تبوك,Tabuk,مقررات,68.26,male,capabilities,scientific
32922,انجال الصفوة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,68.19,male,capabilities,scientific
113851,ثانوية المطورون الأهلية,-,Riyadh,تعليم عام بنين,68.15,male,capabilities,scientific
11594,ثانوية رياض التربية الحديثة الأهلية,الرياض,Riyadh,تعليم عام بنين,68.09,male,capabilities,scientific
84352,العمرية الأهلية - الثانوية,سكاكا,Gouf,تعليم عام بنين,67.95,male,capabilities,scientific
152206,ثانوية عنيزة الأهلية - نظام المقررات - بنين,عنيزة,Qassim,مقررات,67.89,male,capabilities,scientific
40774,مدارس الأوس الأهلية - المرحلة الثانوية,المدينة المنورة,Madina,تعليم عام بنين,67.89,male,capabilities,scientific
53842,ثانوية الخبر النموذجية الاهلية,الخبر,AlSharquia,تعليم عام بنين,67.85,male,capabilities,scientific
61539,ثانوية ابها الأهلية,أبها,Asser,تعليم عام بنين,67.85,male,capabilities,scientific
164030,نون التربية الثانوية الأهلية,بيشة,Asser,مقررات,67.84,male,capabilities,scientific
161045,مدارس التميز الابداعي الثانوية,خميس مشيط,Asser,تعليم عام بنين,67.83,male,capabilities,scientific
32828,أنجال العقيق الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,67.82,male,capabilities,scientific
57728,ثانوية رؤية المستقبل الأهلية,الأحساء,AlSharquia,تعليم عام بنين,67.79,male,capabilities,scientific
110554,ثانوية آفاق السويدي الأهلية,الرياض,Riyadh,تعليم عام بنين,67.78,male,capabilities,scientific
11217,ثانوية الشمس الأهلية,الرياض,Riyadh,تعليم عام بنين,67.78,male,capabilities,scientific
