General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1739,60844,ثانوية نور التوحيد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,59.13
1740,85215,ثانوية الرحمانية الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنات,59.11
1766,89486,ثانوية جوهره الفكر الأهلية,جازان,Jazan,Domestic,تعليم عام بنات,58.5
1777,22369,ثانوية اجيال المعرفة الاهلية بنات,القويعية,Riyadh,Domestic,تعليم عام بنات,58.16
1778,86699,ثانوية القريات الاهلية,القريات,Gouf,Domestic,تعليم عام بنات,58.1
1779,97235,ثانوية منارات المزاحمية الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنات,58.08
1780,185634,ثانوية وارفة العلم الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنات,58.02
1789,188528,ثانوية زهرات المستقبل الأهلية,جازان,Jazan,Domestic,تعليم عام بنات,57.8
1790,51311,ثانوية درة الملبي الأهلية,الرس,Qassim,Domestic,تعليم عام بنات,57.79
1798,85392,ثانوية التجديد الاهليه,سكاكا,Gouf,Domestic,تعليم عام بنات,57.44
1799,95964,ثانوية الأركان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,57.43
1801,89463,ثانوية  مدارس جازان الأهلية للبنات,جازان,Jazan,Domestic,تعليم عام بنات,57.3
1802,89503,ثانوية مناهل الجامعة الأهلية,جازان,Jazan,Domestic,تعليم عام بنات,57.3
1806,60817,ثانوية الأكاديمية العصرية الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,57.02
1807,18567,ثانوية أجيال الدوادمي الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنات,56.91
1817,23761,ثانوية الصفوة النموذجية الأهلية,عفيف,Riyadh,Domestic,تعليم عام بنات,56.38
1818,60831,ثانوية رواد النجاح الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,56.14
1822,60738,ثانوية الواحة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,55.87
1824,185009,ثانوية منهاج الرسالة الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنات,55.81
1830,48918,ثانوية أنجال القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,55.44
1833,85337,ثانوية فتيات الأوائل الأهلية بدومة الجندل,دومة الجندل,Gouf,Domestic,تعليم عام بنات,55.36
1834,83801,ثانوية أنجال رفحاء الأهلية-بنات,رفحاء,Northern borders,Domestic,تعليم عام بنات,55.32
1836,83874,ثانوية شموس رفحاء برفحاء,رفحاء,Northern borders,Domestic,تعليم عام بنات,55.11
1839,60814,ثانوية المجد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,54.94
1847,85253,ثانوية القمم الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنات,54
1849,189139,ثانوية تعليم الكبيرات الأهلية,جازان,Jazan,Domestic,تعليم عام بنات,53.58
1852,23733,ثانوية  منارات عفيف الاهلية,عفيف,Riyadh,Domestic,تعليم عام بنات,52.85
1854,60886,ثانوية الأكاديمية العصرية لتعليم الكبيرات,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,52.2
