General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1459,17496,ثانوية دار التعليم الأهلية بساجر,ساجر,Riyadh,Domestic,تعليم عام بنين,61.13
1466,76750,أملج الأهلية الثانوية,أملج,Tabuk,Domestic,تعليم عام بنين,61.06
1473,20302,ثانوية منار سدير الأهلية,المجمعة,Riyadh,Domestic,تعليم عام بنين,61.04
1481,110996,ثانوية أضواء الرياض النموذجية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.96
1488,26749,ثانوية الإنجاز الأهلية بالشرائع,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,60.93
1496,10858,ثانوية أضواء الرياض الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.88
1500,124002,ثانوية  الوادي الأهلية,الخماسين,Riyadh,Domestic,تعليم عام بنين,60.86
1505,11562,ثانوية أم القرى الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.82
1507,47796,ثانوية أنجال المستقبل الأهلية,البكيرية,Qassim,Domestic,تعليم عام بنين,60.82
1525,12281,ثانوية نبع العلوم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.71
1531,47901,ثانوية الآفاق النموذجية الأهلية,البكيرية,Qassim,Domestic,تعليم عام بنين,60.66
1533,32736,الخليج الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,60.64
1541,93577,مواهب الخليج الأهلية الثانوية,نجران,Najran,Domestic,تعليم عام بنين,60.58
1542,26852,ثانوية الطموح بالجموم الأهلية,الجموم,Makkah,Domestic,تعليم عام بنين,60.58
1543,16337,ثانوية اجيال الخرج الأهلية,الخرج,Riyadh,Domestic,تعليم عام بنين,60.58
1561,11295,ثانوية عكاظ الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.44
1570,76569,دار الرأي الأهلية الثانوية,تبوك,Tabuk,Domestic,تعليم عام بنين,60.36
1573,12212,ثانوية أجيال المعرفة الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنين,60.35
1578,184012,أندلس الجوف الأهلية - الثانوية,سكاكا,Gouf,Domestic,تعليم عام بنين,60.32
1581,111167,ثانوية معالم الصفوة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.32
1590,12988,ثانوية البشائر الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.27
1592,60388,نور الغد الأهلية الثانوية بالذيبية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,60.26
1608,186461,ثانوية نبراس القريات الاهلية,القريات,Gouf,Domestic,تعليم عام بنين,60.21
1614,54238,ثانوية النعيرية الاهلية,النعيرية,AlSharquia,Domestic,تعليم عام بنين,60.15
1615,11629,ثانوية آفاق التربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.13
1618,11089,ثانوية رائدة السلام الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.1
1620,16346,ثانوية اجيال الفكر الأهلية,الخرج,Riyadh,Domestic,تعليم عام بنين,60.1
1631,110966,ثانوية التربية الرقمية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,60.03
1636,57732,ثانوية آفاق التعليم الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,60
1637,26774,ثانوية طلائع الإيمان الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,59.98
1646,50300,ثانوية الأندلس الأهلية,الرس,Qassim,Domestic,تعليم عام بنين,59.89
1654,21439,ثانوية أجيال المعرفة الأهلية,القويعية,Riyadh,Domestic,تعليم عام بنين,59.85
1656,60453,نور الغد الأهلية الثانوية بحفرالباطن,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,59.84
1671,30293,انجال النخبة الأهلية بالحوية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,59.73
1685,184013,مدارس فرسان الجوبة الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنين,59.64
1686,12213,ثانوية أجيال اليمامة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,59.63
1688,60423,الأكاديمية العصرية الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,59.63
1701,76450,الشمال الأهلية الثانوية,تبوك,Tabuk,Domestic,تعليم عام بنين,59.52
1724,11773,ثانوية جيل الريادة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,59.34
1731,52246,ثانوية منارات عنيزة الأهلية,عنيزة,Qassim,Domestic,تعليم عام بنين,59.31
1733,30096,أنجال المملكة الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,59.3
1737,11538,ثانوية النظامية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,59.27
1748,146363,ثانوية أجيال ينبع الاهلية,ينبع,Madina,Domestic,تعليم عام بنين,59.17
1759,30143,أنجال المملكة الأهلية بالحوية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,59.08
1772,93653,ديوان المعرفة الأهلية الثانوية,نجران,Najran,Domestic,تعليم عام بنين,58.99
1773,47554,ثانوية رياض القصيم الأهلية,بريدة,Qassim,Domestic,تعليم عام بنين,58.99
1776,23316,أجيالكم الأهلية الثانوية,عفيف,Riyadh,Domestic,تعليم عام بنين,58.97
1791,11314,ثانوية رماح الأهلية,الصملة,Riyadh,Domestic,تعليم عام بنين,58.8
1797,26619,ثانوية الفرقان بالشرائع الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,58.77
1804,23332,ثانوية الاشراق الحديثة,عفيف,Riyadh,Domestic,تعليم عام بنين,58.7
1817,12094,ثانوية قرطبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,58.57
1826,57695,ثانوية منارات الخالدية  الأهلية,الأحساء,AlSharquia,Domestic,تعليم عام بنين,58.49
