General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1790,47796,ثانوية أنجال المستقبل الأهلية,البكيرية,Qassim,Domestic,تعليم عام بنين,52.95
1791,21439,ثانوية أجيال المعرفة الأهلية,القويعية,Riyadh,Domestic,تعليم عام بنين,52.94
1794,93653,ديوان المعرفة الأهلية الثانوية,نجران,Najran,Domestic,تعليم عام بنين,52.91
1796,84376,الجوف الأهلية - الثانوية,سكاكا,Gouf,Domestic,تعليم عام بنين,52.88
1797,26774,ثانوية طلائع الإيمان الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,52.88
1799,30096,أنجال المملكة الأهلية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,52.85
1802,26619,ثانوية الفرقان بالشرائع الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,52.8
1808,93577,مواهب الخليج الأهلية الثانوية,نجران,Najran,Domestic,تعليم عام بنين,52.75
1813,30143,أنجال المملكة الأهلية بالحوية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,52.72
1816,184002,ثانوية التحكيم الاهلية,دومة الجندل,Gouf,Domestic,تعليم عام بنين,52.61
1817,60427,جيل التفوق الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,52.6
1819,20285,ثانوية المجمعة النموذجية الأولى الأهلية,المجمعة,Riyadh,Domestic,تعليم عام بنين,52.58
1820,60453,نور الغد الأهلية الثانوية بحفرالباطن,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,52.56
1822,160009,الرسالة النموذجية الاهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,52.51
1829,47546,ثانوية الخيرالأهلية,بريدة,Qassim,Domestic,تعليم عام بنين,52.35
1831,193009,المعارف الاهلية الثانوية,نجران,Najran,Domestic,تعليم عام بنين,52.34
1834,12094,ثانوية قرطبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,52.3
1836,17495,ثانوية دار القبس الأهلية,رفائع الجمش,Riyadh,Domestic,تعليم عام بنين,52.28
1839,60432,أمجاد التعليم الاهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,52.23
1840,188470,ثانوية نخبة جازان الأهلية,أبو عريش,Jazan,Domestic,تعليم عام بنين,52.22
1843,17519,ثانوية أنجال التربية الأهلية بالبجادية,البجادية,Riyadh,Domestic,تعليم عام بنين,52.17
1845,52246,ثانوية منارات عنيزة الأهلية,عنيزة,Qassim,Domestic,تعليم عام بنين,52.12
1853,60387,شعلة الإيمان الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,52.01
1856,11314,ثانوية رماح الأهلية,الصملة,Riyadh,Domestic,تعليم عام بنين,51.94
1858,47842,ثانوية أنجال المستقبل الاهلية,المذنب,Qassim,Domestic,تعليم عام بنين,51.93
1860,160010,سفراء الغد الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,51.9
1867,50372,ثانوية درة الملبي الأهلية,الرس,Qassim,Domestic,تعليم عام بنين,51.8
1879,184013,مدارس فرسان الجوبة الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنين,51.5
1881,187644,ثانوية اجياد التميز,أبو عريش,Jazan,Domestic,تعليم عام بنين,51.41
1883,19156,مدرسة أجيال الزلفي الاهلية الثانوية,الزلفي,Riyadh,Domestic,تعليم عام بنين,51.38
1903,23316,أجيالكم الأهلية الثانوية,عفيف,Riyadh,Domestic,تعليم عام بنين,50.76
1923,23335,ثانوية الأجيال الحديثة الأهلية,عفيف,Riyadh,Domestic,تعليم عام بنين,50.03
1927,23332,ثانوية الاشراق الحديثة,عفيف,Riyadh,Domestic,تعليم عام بنين,49.83
1933,14228,ثانوية رواد الأفلاج الأهلية,-,Riyadh,Domestic,تعليم عام بنين,49.45
1956,84349,طبرجل الأهلية - الثانوية,طبرجل,Gouf,Domestic,تعليم عام بنين,47.49
1959,184011,ثانوية منابر الخير الأهلية,طبرجل,Gouf,Domestic,تعليم عام بنين,47.07
1962,14227,ثانوية دار القبس الأهلية,ليلى,Riyadh,Domestic,تعليم عام بنين,46.34
1964,184308,ثانوية بيان طبرجل الأهلية,طبرجل,Gouf,Domestic,تعليم عام بنين,44.78
